GeneID	GeneSymbol	median_z_score
5347	PLK1	3.02
8295	TRRAP	2.92
2185	PTK2B	2.9
5754	PTK7	2.61
7272	TTK	2.55
4833	NME4	2.52
51755	CRKRS	2.38
57787	MARK4	2.33
5362	PLXNA2	2.3
23654	PLXNB2	2.3
984	CDK11B	2.13
6790	AURKA	2.09
5288	PIK3C2G	2
983	CDC2	1.94
51727	CMPK1	1.94
5313	PKLR	1.82
6793	STK10	1.76
1021	CDK6	1.71
660	BMX	1.69
26576	SRPK3	1.69
23049	SMG1	1.68
23729	SHPK	1.67
64398	MPP5	1.65
85443	DCLK3	1.61
2011	MARK2	1.6
118788	PIK3AP1	1.52
26524	LATS2	1.48
2045	EPHA7	1.46
9024	BRSK2	1.4
23396	PIP5K1C	1.35
29959	NRBP1	1.34
85366	MYLK2	1.34
659	BMPR2	1.29
117283	IP6K3	1.27
4058	LTK	1.24
29993	PACSIN1	1.23
80347	COASY	1.22
11284	PNKP	1.18
1716	DGUOK	1.15
10256	CNKSR1	1.13
6416	MAP2K4	1.12
5832	ALDH18A1	1.1
8711	TNK1	1.07
1608	DGKG	1.05
6795	AURKC	1.03
8503	PIK3R3	1.03
9262	STK17B	1.02
23097	CDK19	1.01
2580	GAK	1
1198	CLK3	0.99
9175	MAP3K13	0.99
55750	AGK	0.99
4752	NEK3	0.98
5294	PIK3CG	0.97
202374	STK32A	0.97
1024	CDK8	0.95
2048	EPHB2	0.94
1436	CSF1R	0.93
53354	PANK1	0.93
5286	PIK3C2A	0.92
23031	MAST3	0.92
57147	SCYL3	0.92
4294	MAP3K10	0.91
256356	GK5	0.91
65268	WNK2	0.9
90956	ADCK2	0.9
5297	PI4KA	0.89
65266	WNK4	0.89
701	BUB1B	0.88
56911	MAP3K7CL	0.88
440275	EIF2AK4	0.87
5364	PLXNB1	0.86
197258	FUK	0.84
4356	MPP3	0.81
8317	CDC7	0.81
9807	IP6K1	0.81
54998	AURKAIP1	0.81
808	CALM3	0.8
5218	CDK14	0.8
23604	DAPK2	0.8
55361	PI4K2A	0.8
5871	MAP4K2	0.79
58496	LY6G5B	0.79
51347	TAOK3	0.78
79858	NEK11	0.78
80025	PANK2	0.78
56848	SPHK2	0.77
5211	PFKL	0.76
8859	STK19	0.76
9113	LATS1	0.76
9463	PICK1	0.75
2931	GSK3A	0.74
10188	TNK2	0.73
80271	ITPKC	0.73
5607	MAP2K5	0.72
9212	AURKB	0.72
5298	PI4KB	0.71
8396	PIP4K2B	0.71
55589	BMP2K	0.71
204851	HIPK1	0.71
282974	STK32C	0.69
3932	LCK	0.68
5605	MAP2K2	0.68
5636	PRPSAP2	0.68
6788	STK3	0.68
5609	MAP2K7	0.67
238	ALK	0.65
4915	NTRK2	0.65
5128	PCTK2	0.65
5568	PRKACG	0.65
5613	PRKX	0.65
7444	VRK2	0.65
9344	TAOK2	0.65
158067	AK8	0.65
3480	IGF1R	0.64
10020	GNE	0.64
11183	MAP4K5	0.64
4145	MATK	0.63
51314	TXNDC3	0.63
79012	CAMKV	0.63
11184	MAP4K1	0.62
138429	PIP5KL1	0.62
4140	MARK3	0.6
1160	CKMT2	0.59
340156	MYLK4	0.58
1025	CDK9	0.57
2050	EPHB4	0.57
817	CAMK2D	0.56
3702	ITK	0.56
7535	ZAP70	0.56
8567	MADD	0.56
27347	STK39	0.55
64089	SNX16	0.55
389840	MAP3K15	0.55
1195	CLK1	0.54
5578	PRKCA	0.54
8445	DYRK2	0.54
27010	TPK1	0.54
4233	MET	0.53
5616	PRKY	0.53
8877	SPHK1	0.53
9146	HGS	0.53
7075	TIE1	0.52
92335	STRADA	0.52
4914	NTRK1	0.5
7010	TEK	0.49
7297	TYK2	0.49
64768	IPPK	0.48
65220	NADK	0.48
