GeneID	GeneSymbol	median_z_score
55183	RIF1	7.21
6117	RPA1	7.02
5424	POLD1	6.63
5981	RFC1	4.09
9861	PSMD6	2.94
7158	TP53BP1	2.62
54962	TIPIN	2.57
5700	PSMC1	2.33
8517	IKBKG	2.24
10714	POLD3	2.08
146956	EME1	1.94
1111	CHEK1	1.73
6233	RPS27A	1.71
5425	POLD2	1.67
6119	RPA3	1.65
144455	E2F7	1.61
5439	POLR2J	1.61
8914	TIMELESS	1.58
7023	TFAP4	1.57
5965	RECQL	1.56
7319	UBE2A	1.53
79661	NEIL1	1.51
64421	DCLRE1C	1.5
8438	RAD54L	1.44
55929	DMAP1	1.43
83932	C1orf124	1.38
1655	DDX5	1.3
472	ATM	1.28
57551	TAOK1	1.25
4437	MSH3	1.24
151636	DTX3L	1.22
900	CCNG1	1.18
4773	NFATC2	1.17
84893	FBXO18	1.15
165918	RNF168	1.14
5591	PRKDC	1.12
5716	PSMD10	1.1
4292	MLH1	1.09
5715	PSMD9	1.09
3661	IRF3	1.08
9937	DCLRE1A	1.08
5683	PSMA2	1.06
599	BCL2L2	1.06
7014	TERF2	1.05
84446	BRSK1	1.05
5713	PSMD7	1.04
29089	UBE2T	1.02
5691	PSMB3	1.02
23300	ATMIN	1.01
25836	NIPBL	0.98
200558	APLF	0.91
51426	POLK	0.91
5890	RAD51L1	0.91
9538	EI24	0.87
25896	INTS7	0.86
7334	UBE2N	0.86
140733	MACROD2	0.84
6118	RPA2	0.84
1112	FOXN3	0.83
51347	TAOK3	0.82
5441	POLR2L	0.82
5437	POLR2H	0.8
7528	YY1	0.78
286257	C9orf142	0.76
55215	FANCI	0.75
5690	PSMB2	0.73
5696	PSMB8	0.72
598	BCL2L1	0.72
113510	HELQ	0.71
9025	RNF8	0.71
1026	CDKN1A	0.69
10309	CCNO	0.69
55775	TDP1	0.69
142	PARP1	0.68
6498	SKIL	0.68
84464	SLX4	0.67
5718	PSMD12	0.66
2067	ERCC1	0.65
26122	EPC2	0.65
80820	EEPD1	0.65
11200	CHEK2	0.64
112399	EGLN3	0.63
2071	ERCC3	0.63
5295	PIK3R1	0.62
56949	XAB2	0.62
57805	KIAA1967	0.61
8505	PARG	0.61
983	CDC2	0.61
257218	SHPRH	0.6
2968	GTF2H4	0.6
29935	RPA4	0.6
6421	SFPQ	0.6
55010	C12orf48	0.59
7316	UBC	0.59
80279	CDK5RAP3	0.59
2072	ERCC4	0.58
253714	MMS22L	0.58
25788	RAD54B	0.58
27141	CIDEB	0.58
11201	POLI	0.57
4067	LYN	0.57
5595	MAPK3	0.56
4350	MPG	0.55
5685	PSMA4	0.55
11044	POLS	0.54
353497	POLN	0.54
3978	LIG1	0.54
4193	MDM2	0.54
51512	GTSE1	0.54
79728	PALB2	0.54
10973	ASCC3	0.53
23514	KIAA0146	0.53
5111	PCNA	0.53
7486	WRN	0.52
4609	MYC	0.51
5423	POLB	0.51
83990	BRIP1	0.51
9907	KIAA0415	0.51
4176	MCM7	0.5
50484	RRM2B	0.5
7161	TP73	0.5
79184	BRCC3	0.5
4221	MEN1	0.49
6996	TDG	0.48
3665	IRF7	0.47
9344	TAOK2	0.47
1432	MAPK14	0.46
