GeneID	GeneSymbol	median_z_score
6117	RPA1	2.6
29086	BABAM1	2.54
6118	RPA2	2.51
51514	DTL	2.5
10036	CHAF1A	2.34
9400	RECQL5	1.86
7517	XRCC3	1.84
90381	TICRR	1.84
8438	RAD54L	1.81
57697	FANCM	1.76
5435	POLR2F	1.68
5433	POLR2D	1.61
5427	POLE2	1.6
5395	PMS2	1.49
1642	DDB1	1.43
983	CDC2	1.32
5426	POLE	1.17
641	BLM	1.17
5684	PSMA3	1.16
7311	UBA52	1.14
6880	TAF9	1.09
26270	FBXO6	1.07
378708	APITD1	1.06
3661	IRF3	1.05
25988	HINFP	1.03
25836	NIPBL	1.02
580	BARD1	1
331	XIAP	0.97
55183	RIF1	0.96
5686	PSMA5	0.94
7158	TP53BP1	0.93
2187	FANCB	0.91
5965	RECQL	0.91
7919	BAT1	0.91
4796	NFKBIL2	0.9
57551	TAOK1	0.9
1106	CHD2	0.88
27301	APEX2	0.85
79791	FBXO31	0.85
9665	KIAA0430	0.83
9937	DCLRE1A	0.82
6119	RPA3	0.79
140733	MACROD2	0.78
7157	TP53	0.78
324	APC	0.77
5716	PSMD10	0.75
5692	PSMB4	0.74
8812	CCNK	0.74
9557	CHD1L	0.74
2188	FANCF	0.72
84464	SLX4	0.72
9577	BRE	0.72
201973	CCDC111	0.71
595	CCND1	0.71
6917	TCEA1	0.71
79915	ATAD5	0.71
27141	CIDEB	0.7
5431	POLR2B	0.69
572	BAD	0.69
836	CASP3	0.69
23300	ATMIN	0.68
8914	TIMELESS	0.68
571	BACH1	0.67
7405	UVRAG	0.67
84690	SPATA22	0.67
11144	DMC1	0.65
1655	DDX5	0.65
55215	FANCI	0.65
8517	IKBKG	0.65
9984	THOC1	0.65
5889	RAD51C	0.64
5982	RFC2	0.63
64393	ZMAT3	0.63
84944	MAEL	0.63
23612	PHLDA3	0.62
254394	MCM9	0.62
5378	PMS1	0.62
6847	SYCP1	0.62
23137	SMC5	0.61
5710	PSMD4	0.61
10432	RBM14	0.6
57805	KIAA1967	0.58
666	BOK	0.58
25788	RAD54B	0.57
3980	LIG3	0.57
1196	CLK2	0.56
23514	KIAA0146	0.56
328	APEX1	0.56
4350	MPG	0.56
7528	YY1	0.56
121642	ALKBH2	0.55
27429	HTRA2	0.54
5691	PSMB3	0.54
5694	PSMB6	0.54
80169	C17orf68	0.54
55120	FANCL	0.53
55159	RFWD3	0.53
2071	ERCC3	0.52
2308	FOXO1	0.52
5531	PPP4C	0.52
79840	NHEJ1	0.52
5688	PSMA7	0.5
5696	PSMB8	0.5
7515	XRCC1	0.49
83695	C12orf32	0.49
55367	LRDD	0.48
604	BCL6	0.48
375757	C9orf119	0.47
5432	POLR2C	0.47
253714	MMS22L	0.46
27343	POLL	0.46
55775	TDP1	0.46
64859	OBFC2A	0.45
10973	ASCC3	0.44
122706	PSMB11	0.43
545	ATR	0.43
7153	TOP2A	0.43
119392	SFR1	0.42
54929	TMEM161A	0.42
55031	USP47	0.42
57646	USP28	0.42
2175	FANCA	0.41
