GeneID	GeneSymbol	median_z_score
8295	TRRAP	2.58
26576	SRPK3	1.63
5600	MAPK11	1.6
7272	TTK	1.57
5754	PTK7	1.51
9024	BRSK2	1.51
5362	PLXNA2	1.47
65268	WNK2	1.47
29993	PACSIN1	1.45
1436	CSF1R	1.43
57410	SCYL1	1.4
659	BMPR2	1.37
51755	CRKRS	1.31
5364	PLXNB1	1.26
5313	PKLR	1.21
9262	STK17B	1.21
9146	HGS	1.17
160851	DGKH	1.16
1613	DAPK3	1.14
4356	MPP3	1.14
115701	ALPK2	1.13
6196	RPS6KA2	1.11
8844	KSR1	1.09
983	CDC2	1.07
2534	FYN	1.07
5297	PI4KA	1.07
5286	PIK3C2A	1.04
1198	CLK3	1.02
5128	PCTK2	0.99
80347	COASY	0.98
1160	CKMT2	0.97
53354	PANK1	0.97
1457	CSNK2A1	0.96
55577	NAGK	0.96
65125	WNK1	0.96
138429	PIP5KL1	0.96
56911	MAP3K7CL	0.95
5605	MAP2K2	0.94
1024	CDK8	0.93
9463	PICK1	0.92
3480	IGF1R	0.91
23683	PRKD3	0.91
204	AK2	0.9
5578	PRKCA	0.9
2047	EPHB1	0.89
54998	AURKAIP1	0.89
56848	SPHK2	0.89
5288	PIK3C2G	0.87
8567	MADD	0.87
9863	MAGI2	0.87
65975	STK33	0.87
1021	CDK6	0.85
89882	TPD52L3	0.83
30811	HUNK	0.82
120892	LRRK2	0.82
660	BMX	0.81
8999	CDKL2	0.81
6795	AURKC	0.8
23097	CDK19	0.8
2044	EPHA5	0.78
80852	GRIP2	0.78
5832	ALDH18A1	0.77
64398	MPP5	0.77
3702	ITK	0.76
54103	PION	0.76
57551	TAOK1	0.76
56990	CDC42SE2	0.75
984	CDK11B	0.74
8317	CDC7	0.74
4216	MAP3K4	0.73
9261	MAPKAPK2	0.73
81788	NUAK2	0.73
5166	PDK4	0.72
8503	PIK3R3	0.72
9833	MELK	0.72
10188	TNK2	0.71
84630	TTBK1	0.71
6199	RPS6KB2	0.7
1195	CLK1	0.69
5298	PI4KB	0.69
11252	PACSIN2	0.69
5607	MAP2K5	0.68
55561	CDC42BPG	0.68
1716	DGUOK	0.67
9212	AURKB	0.66
55361	PI4K2A	0.66
85443	DCLK3	0.66
780	DDR1	0.65
6788	STK3	0.65
27347	STK39	0.65
5213	PFKM	0.64
9807	IP6K1	0.64
27010	TPK1	0.63
83732	RIOK1	0.63
5347	PLK1	0.62
6793	STK10	0.62
2268	FGR	0.61
4117	MAK	0.61
51347	TAOK3	0.61
117283	IP6K3	0.61
8576	STK16	0.6
25865	PRKD2	0.6
79934	ADCK4	0.6
2260	FGFR1	0.59
5211	PFKL	0.59
5592	PRKG1	0.59
7297	TYK2	0.59
23396	PIP5K1C	0.59
57172	CAMK1G	0.59
2710	GK	0.58
8444	DYRK3	0.58
10256	CNKSR1	0.57
53834	FGFRL1	0.57
150094	SIK1	0.57
1969	EPHA2	0.56
4833	NME4	0.56
2045	EPHA7	0.55
5568	PRKACG	0.55
6790	AURKA	0.55
51231	VRK3	0.55
10000	AKT3	0.54
4140	MARK3	0.53
29904	EEF2K	0.53
6102	RP2	0.52
9706	ULK2	0.52
256356	GK5	0.52
2011	MARK2	0.51
4145	MATK	0.51
5129	PCTK3	0.51
5218	CDK14	0.51
5562	PRKAA1	0.51
5610	EIF2AK2	0.51
8986	RPS6KA4	0.51
11040	PIM2	0.51
51232	CRIM1	0.51
51727	CMPK1	0.51
8631	SKAP1	0.5
8711	TNK1	0.5
283629	TSSK4	0.5
2048	EPHB2	0.49
4752	NEK3	0.49
9451	EIF2AK3	0.49
10783	NEK6	0.49
1612	DAPK1	0.48
55437	STRADB	0.48
284086	NEK8	0.48
2050	EPHB4	0.46
8396	PIP4K2B	0.46
2049	EPHB3	0.45
440275	EIF2AK4	0.45
1017	CDK2	0.44
5613	PRKX	0.44
815	CAMK2A	0.43
4294	MAP3K10	0.43
5290	PIK3CA	0.43
23031	MAST3	0.43
4915	NTRK2	0.42
7010	TEK	0.42
64089	SNX16	0.42
5127	PCTK1	0.41
7048	TGFBR2	0.41
1456	CSNK1G3	0.4
55450	CAMK2N1	0.4
90956	ADCK2	0.4
2868	GRK4	0.39
5635	PRPSAP1	0.39
65266	WNK4	0.39
85366	MYLK2	0.39
2185	PTK2B	0.38
3932	LCK	0.38
4217	MAP3K5	0.38
10298	PAK4	0.38
11344	TWF2	0.38
260425	MAGI3	0.38
2645	GCK	0.37
8445	DYRK2	0.37
29959	NRBP1	0.37
2931	GSK3A	0.36
7294	TXK	0.36
8408	ULK1	0.36
79858	NEK11	0.36
699	BUB1	0.35
5636	PRPSAP2	0.35
10295	BCKDK	0.35
