GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID	Flag
6117	3	G10	5.67	1	7	2.7863137484522195e-7	1	3	3	100	6117	RPA1	s12129	TRUE
6117	1	G10	5.42	2	11	2.7863137484522195e-7	1	3	3	100	6117	RPA1	s12127	TRUE
6117	2	G10	5.27	3	13	2.7863137484522195e-7	1	3	3	100	6117	RPA1	s12128	TRUE
57697	6	D15	7.26	4	2	5.829825689069226e-6	1	3	3	100	57697	FANCM	s33621	TRUE
57697	5	D15	4.07	5	20	5.829825689069226e-6	1	3	3	100	57697	FANCM	s33619	TRUE
57697	4	D15	3.51	6	33	5.829825689069226e-6	1	3	3	100	57697	FANCM	s33620	TRUE
51514	4	K17	10.51	7	1	8.90353893255411e-6	1	3	3	100	51514	DTL	s226738	TRUE
51514	5	K17	6.91	8	3	8.90353893255411e-6	1	3	3	100	51514	DTL	s28246	TRUE
51514	6	K17	3.45	9	39	8.90353893255411e-6	1	3	3	100	51514	DTL	s226739	TRUE
8914	2	F06	3.04	10	55	3.868786897370129e-5	1	3	3	100	8914	TIMELESS	s17055	TRUE
8914	1	F06	2.88	11	60	3.868786897370129e-5	1	3	3	100	8914	TIMELESS	s17054	TRUE
8914	3	F06	2.87	12	63	3.868786897370129e-5	1	3	3	100	8914	TIMELESS	s17053	TRUE
5435	3	L01	3.45	13	40	1.5280787591992305e-4	1	3	3	100	5435	POLR2F	s10808	TRUE
5435	2	L01	3.19	14	49	1.5280787591992305e-4	1	3	3	100	5435	POLR2F	s10809	TRUE
5435	1	L01	2.34	15	99	1.5280787591992305e-4	1	3	3	100	5435	POLR2F	s224297	TRUE
10036	1	L06	3.56	16	32	2.281036209117499e-4	1	3	3	100	10036	CHAF1A	s19501	TRUE
10036	2	L06	3.19	17	50	2.281036209117499e-4	1	3	3	100	10036	CHAF1A	s19499	TRUE
10036	3	L06	2.15	18	112	2.281036209117499e-4	1	3	3	100	10036	CHAF1A	s19500	TRUE
90381	4	N09	5.29	19	12	2.4692974918975435e-4	1	3	3	100	90381	TICRR	s40362	TRUE
90381	6	N09	3.08	20	54	2.4692974918975435e-4	1	3	3	100	90381	TICRR	s40363	TRUE
90381	5	N09	2.11	21	116	2.4692974918975435e-4	1	3	3	100	90381	TICRR	s40361	TRUE
5692	1	P03	4.11	22	19	3.722164443124655e-4	1	3	3	100	5692	PSMB4	s11352	TRUE
5692	3	P03	4.01	23	21	3.722164443124655e-4	1	3	3	100	5692	PSMB4	s11351	TRUE
5683	1	N07	4.23	24	16	4.0928805646494806e-4	1	3	3	100	5683	PSMA2	s11332	TRUE
5683	3	N07	3.87	25	22	4.0928805646494806e-4	1	3	3	100	5683	PSMA2	s11330	TRUE
5686	3	N13	4.22	26	17	4.747878627362563e-4	1	3	3	100	5686	PSMA5	s11341	TRUE
5686	1	N13	3.33	27	45	4.747878627362563e-4	1	3	3	100	5686	PSMA5	s11339	TRUE
5686	2	N13	1.86	28	144	4.747878627362563e-4	1	3	3	100	5686	PSMA5	s11340	TRUE
5433	1	J19	2.15	29	113	8.553544801738897e-4	1	3	3	100	5433	POLR2D	s10804	TRUE
5433	3	J19	1.72	30	166	8.553544801738897e-4	1	3	3	100	5433	POLR2D	s10803	TRUE
