GeneID	GeneSymbol	median_z_score
10721	POLQ	3.08
596	BCL2	2.56
324	APC	2.34
23137	SMC5	2.27
10887	PROKR1	2.18
55183	RIF1	1.98
10309	CCNO	1.91
10413	YAP1	1.91
23581	CASP14	1.9
56897	WRNIP1	1.89
3978	LIG1	1.8
64789	EXO5	1.78
57646	USP28	1.72
11011	TLK2	1.71
545	ATR	1.71
55602	CDKN2AIP	1.7
5663	PSEN1	1.7
10038	PARP2	1.68
4438	MSH4	1.67
132671	SPATA18	1.64
572	BAD	1.58
10432	RBM14	1.55
91419	XRCC6BP1	1.52
4255	MGMT	1.51
10635	RAD51AP1	1.46
9774	BCLAF1	1.45
23626	SPO11	1.39
1643	DDB2	1.37
25896	INTS7	1.35
3014	H2AFX	1.35
10600	USP16	1.33
253714	MMS22L	1.31
26058	GIGYF2	1.31
22925	PLA2R1	1.29
10519	CIB1	1.23
10714	POLD3	1.2
54840	APTX	1.2
6615	SNAI1	1.18
92667	MGME1	1.15
11284	PNKP	1.14
4350	MPG	1.14
7415	VCP	1.14
4170	MCL1	1.1
54891	INO80D	1.1
7178	TPT1	1.1
1017	CDK2	1.09
5711	PSMD5	1.09
1161	ERCC8	1.08
51567	TDP2	1.08
666	BOK	1.08
25	ABL1	1.07
9491	PSMF1	1.07
5985	RFC5	1.05
10463	SLC30A9	1.04
56776	FMN2	1.04
7336	UBE2V2	1.03
5929	RBBP5	0.99
23411	SIRT1	0.97
472	ATM	0.97
10535	RNASEH2A	0.96
7317	UBA1	0.96
10017	BCL2L10	0.95
50484	RRM2B	0.95
10116	FEM1B	0.93
84126	ATRIP	0.93
51455	REV1	0.92
4750	NEK1	0.91
10451	VAV3	0.89
118611	C10orf90	0.89
7374	UNG	0.88
201973	CCDC111	0.87
6794	STK11	0.87
2967	GTF2H3	0.86
11073	TOPBP1	0.85
254394	MCM9	0.85
9768	KIAA0101	0.85
1106	CHD2	0.84
10075	HUWE1	0.83
5427	POLE2	0.83
22976	PAXIP1	0.82
92815	HIST3H2A	0.82
5699	PSMB10	0.8
10210	TOPORS	0.79
5698	PSMB9	0.79
546	ATRX	0.78
1859	DYRK1A	0.76
56154	TEX15	0.76
5887	RAD23B	0.76
79068	FTO	0.76
2547	XRCC6	0.75
11186	RASSF1	0.74
5716	PSMD10	0.73
26122	EPC2	0.72
28990	ASTE1	0.72
91603	ZNF830	0.72
9665	KIAA0430	0.72
201299	RDM1	0.71
57804	POLD4	0.71
6917	TCEA1	0.71
54541	DDIT4	0.69
7468	WHSC1	0.69
5378	PMS1	0.68
2067	ERCC1	0.67
842	CASP9	0.67
10538	BATF	0.66
1649	DDIT3	0.66
9984	THOC1	0.66
119392	SFR1	0.65
57805	KIAA1967	0.65
902	CCNH	0.65
7157	TP53	0.64
55317	C20orf29	0.63
83666	PARP9	0.63
9344	TAOK2	0.62
11044	POLS	0.61
11219	TREX2	0.61
63979	FIGNL1	0.6
7405	UVRAG	0.6
84930	MASTL	0.59
11201	POLI	0.58
84083	ZRANB3	0.58
331	XIAP	0.57
7528	YY1	0.57
10111	RAD50	0.56
2072	ERCC4	0.56
79661	NEIL1	0.56
3162	HMOX1	0.55
4221	MEN1	0.55
6446	SGK1	0.55
1386	ATF2	0.54
143	PARP4	0.54
6047	RNF4	0.54
2071	ERCC3	0.53
2237	FEN1	0.53
5696	PSMB8	0.53
571	BACH1	0.53
4487	MSX1	0.52
5527	PPP2R5C	0.52
10197	PSME3	0.51
8924	HERC2	0.51
144715	RAD9B	0.5
51322	WAC	0.5
5429	POLH	0.49
221120	ALKBH3	0.48
4332	MNDA	0.47
55247	NEIL3	0.47
5428	POLG	0.46
5594	MAPK1	0.46
1069	CETN2	0.45
7515	XRCC1	0.45
9891	NUAK1	0.45
1263	PLK3	0.44
322	APBB1	0.44
57600	FNIP2	0.44
602	BCL3	0.44
2068	ERCC2	0.43
64210	MMS19	0.43
8450	CUL4B	0.43
353497	POLN	0.42
80169	C17orf68	0.42
348654	GEN1	0.41
23503	ZFYVE26	0.4
286053	NSMCE2	0.4
4776	NFATC4	0.4
641	BLM	0.4
9960	USP3	0.4
4282	MIF	0.39
1054	CEBPG	0.38
389643	C8orf80	0.37
55294	FBXW7	0.37
57060	PCBP4	0.37
5984	RFC4	0.37
675	BRCA2	0.37
80233	C17orf70	0.37
84515	MCM8	0.37
11232	POLG2	0.36
51246	SHISA5	0.36
5884	RAD17	0.36
64326	RFWD2	0.36
79858	NEK11	0.36
80854	SETD7	0.36
4595	MUTYH	0.35
9577	BRE	0.35
5425	POLD2	0.34
5980	REV3L	0.34
5983	RFC3	0.34
6596	HLTF	0.34
2189	FANCG	0.33
3661	IRF3	0.33
5720	PSME1	0.33
5890	RAD51L1	0.33
7314	UBB	0.33
597	BCL2A1	0.32
5426	POLE	0.31
57659	ZBTB4	0.31
9070	ASH2L	0.31
9538	EI24	0.31
113510	HELQ	0.3
2187	FANCB	0.3
254528	C16orf73	0.3
2968	GTF2H4	0.3
4862	NPAS2	0.3
143471	PSMA8	0.29
2188	FANCF	0.29
2956	MSH6	0.29
8930	MBD4	0.29
54617	INO80	0.28
23583	SMUG1	0.27
257218	SHPRH	0.27
27343	POLL	0.27
1196	CLK2	0.26
672	BRCA1	0.26
4683	NBN	0.25
55031	USP47	0.25
9156	EXO1	0.25
5379	PMS2L1	0.24
6498	SKIL	0.24
7516	XRCC2	0.24
84690	SPATA22	0.24
7158	TP53BP1	0.23
84446	BRSK1	0.23
1022	CDK7	0.22
10397	NDRG1	0.22
135458	HUS1B	0.22
51548	SIRT6	0.22
245711	SPDYA	0.2
2966	GTF2H2	0.2
5892	RAD51L3	0.2
9100	USP10	0.2
5295	PIK3R1	0.19
58493	INIP	0.19
84464	SLX4	0.19
11200	CHEK2	0.18
2074	ERCC6	0.18
2140	EYA3	0.18
79728	PALB2	0.18
9656	MDC1	0.18
151636	DTX3L	0.17
1854	DUT	0.17
2765	GML	0.17
54929	TMEM161A	0.17
1027	CDKN1B	0.16
23612	PHLDA3	0.16
4194	MDM4	0.16
5387	PMS2L3	0.16
56852	RAD18	0.16
8870	IER3	0.16
1396	CRIP1	0.15
142	PARP1	0.15
4331	MNAT1	0.15
51065	RPS27L	0.15
8555	CDC14B	0.15
100507436	MICA	0.14
1407	CRY1	0.14
197370	NSMCE1	0.14
23409	SIRT4	0.14
28985	MCTS1	0.14
4436	MSH2	0.14
4439	MSH5	0.14
4609	MYC	0.14
5531	PPP4C	0.14
5810	RAD1	0.14
9320	TRIP12	0.14
7874	USP7	0.13
23064	SETX	0.12
84944	MAEL	0.12
9937	DCLRE1A	0.12
11144	DMC1	0.1
197342	EME2	0.1
5440	POLR2K	0.1
5715	PSMD9	0.1
138151	NACC2	0.09
25836	NIPBL	0.09
2965	GTF2H1	0.09
56916	SMARCAD1	0.09
7913	DEK	0.09
83695	C12orf32	0.08
27244	SESN1	0.06
6648	SOD2	0.06
84142	FAM175A	0.06
161742	SPRED1	0.05
9401	RECQL4	0.05
10459	MAD2L2	0.04
1653	DDX1	0.04
4361	MRE11A	0.04
7141	TNP1	0.04
79791	FBXO31	0.04
1112	FOXN3	0.03
1493	CTLA4	0.03
51426	POLK	0.03
5883	RAD9A	0.03
5982	RFC2	0.03
140733	MACROD2	0.02
3508	IGHMBP2	0.02
57551	TAOK1	0.02
2308	FOXO1	0.01
55120	FANCL	0.01
5965	RECQL	0.01
8738	CRADD	0.01
200558	APLF	0
252983	STXBP4	0
27030	MLH3	-0
404672	GTF2H5	0
5706	PSMC6	0
64859	OBFC2A	0
7979	SHFM1	-0
79915	ATAD5	0
80279	CDK5RAP3	0
9766	KIAA0247	0
25946	ZNF385A	-0.01
55544	RBM38	-0.01
599	BCL2L2	-0.01
7832	BTG2	-0.01
9985	REC8	-0.01
4437	MSH3	-0.02
7291	TWIST1	-0.02
8682	PEA15	-0.02
29935	RPA4	-0.03
4968	OGG1	-0.03
64782	AEN	-0.03
8445	DYRK2	-0.03
136647	C7orf11	-0.04
200933	FBXO45	-0.04
5423	POLB	-0.04
7319	UBE2A	-0.04
340533	KIAA2022	-0.05
3665	IRF7	-0.05
5252	PHF1	-0.05
900	CCNG1	-0.05
5187	PER1	-0.06
57599	WDR48	-0.06
7014	TERF2	-0.06
79035	OBFC2B	-0.06
3364	HUS1	-0.07
7132	TNFRSF1A	-0.07
84939	MUM1	-0.07
9031	BAZ1B	-0.07
283899	INO80E	-0.08
60561	RINT1	-0.08
8243	SMC1A	-0.09
122706	PSMB11	-0.1
23054	NCOA6	-0.1
328	APEX1	-0.1
7917	BAT3	-0.1
125150	ZSWIM7	-0.12
165918	RNF168	-0.12
220042	C11orf82	-0.12
5721	PSME2	-0.12
7517	XRCC3	-0.12
9874	TLK1	-0.12
9907	KIAA0415	-0.12
1647	GADD45A	-0.13
2178	FANCE	-0.13
22909	MTMR15	-0.13
23514	KIAA0146	-0.13
55929	DMAP1	-0.13
6787	NEK4	-0.13
7161	TP73	-0.13
7507	XPA	-0.13
9923	ZBTB40	-0.13
6872	TAF1	-0.14
80820	EEPD1	-0.14
8846	ALKBH1	-0.14
1432	MAPK14	-0.15
1026	CDKN1A	-0.16
2177	FANCD2	-0.16
261726	TIPRL	-0.16
604	BCL6	-0.16
79840	NHEJ1	-0.16
375757	C9orf119	-0.17
64112	MOAP1	-0.18
728340	GTF2H2C	-0.18
79677	SMC6	-0.18
84303	CHCHD6	-0.18
595	CCND1	-0.19
8563	THOC5	-0.19
5689	PSMB1	-0.2
10973	ASCC3	-0.21
148581	UBE2U	-0.21
5893	RAD52	-0.22
5981	RFC1	-0.22
7520	XRCC5	-0.23
7023	TFAP4	-0.24
7919	BAT1	-0.24
84268	RPAIN	-0.24
2176	FANCC	-0.25
3981	LIG4	-0.25
7320	UBE2B	-0.27
598	BCL2L1	-0.28
7486	WRN	-0.28
389898	UBE2NL	-0.29
3980	LIG3	-0.29
400410	ST20	-0.29
581	BAX	-0.29
2073	ERCC5	-0.3
9319	TRIP13	-0.3
5395	PMS2	-0.31
5595	MAPK3	-0.31
10039	PARP3	-0.32
11277	TREX1	-0.32
375748	C9orf102	-0.32
29965	CDIP1	-0.33
7334	UBE2N	-0.34
199990	C1orf86	-0.35
23300	ATMIN	-0.35
4287	ATXN3	-0.35
51720	UIMC1	-0.37
51776	ZAK	-0.37
55010	C12orf48	-0.37
6880	TAF9	-0.37
836	CASP3	-0.37
83990	BRIP1	-0.37
9400	RECQL5	-0.38
1655	DDX5	-0.39
23645	PPP1R15A	-0.39
252969	NEIL2	-0.39
286257	C9orf142	-0.39
55137	FIGN	-0.39
22944	KIN	-0.4
27033	ZBTB32	-0.4
201254	STRA13	-0.41
8438	RAD54L	-0.41
9261	MAPKAPK2	-0.41
5591	PRKDC	-0.43
5710	PSMD4	-0.43
79913	ACTR5	-0.43
4773	NFATC2	-0.44
6118	RPA2	-0.44
55215	FANCI	-0.45
6659	SOX4	-0.45
51347	TAOK3	-0.46
5693	PSMB5	-0.46
5380	PMS2L2	-0.47
121642	ALKBH2	-0.48
4176	MCM7	-0.48
64421	DCLRE1C	-0.48
27429	HTRA2	-0.52
254225	RNF169	-0.53
6421	SFPQ	-0.53
64858	DCLRE1B	-0.53
7398	USP1	-0.53
25788	RAD54B	-0.54
3090	HIC1	-0.55
5431	POLR2B	-0.55
56158	TEX12	-0.55
84266	ALKBH7	-0.55
51366	UBR5	-0.56
5686	PSMA5	-0.56
5692	PSMB4	-0.56
8517	IKBKG	-0.56
91442	C19orf40	-0.56
5441	POLR2L	-0.57
5886	RAD23A	-0.57
5932	RBBP8	-0.57
8626	TP63	-0.58
27141	CIDEB	-0.6
2138	EYA1	-0.61
6591	SNAI2	-0.61
151987	PPP4R2	-0.62
4913	NTHL1	-0.62
65123	INTS3	-0.63
5719	PSMD13	-0.64
6419	SETMAR	-0.64
1111	CHEK1	-0.65
200734	SPRED2	-0.65
4067	LYN	-0.66
4292	MLH1	-0.66
55339	WDR33	-0.67
5424	POLD1	-0.68
7325	UBE2E2	-0.68
146956	EME1	-0.69
80198	MUS81	-0.71
9025	RNF8	-0.71
1642	DDB1	-0.72
6847	SYCP1	-0.72
204851	HIPK1	-0.74
27339	PRPF19	-0.74
6119	RPA3	-0.75
6839	SUV39H1	-0.76
25988	HINFP	-0.77
29086	BABAM1	-0.77
7153	TOP2A	-0.77
7518	XRCC4	-0.77
91801	ALKBH8	-0.77
23198	PSME4	-0.78
29089	UBE2T	-0.78
5434	POLR2E	-0.78
5889	RAD51C	-0.79
6996	TDG	-0.79
27301	APEX2	-0.8
4521	NUDT1	-0.8
55367	LRDD	-0.8
580	BARD1	-0.8
8505	PARG	-0.82
9557	CHD1L	-0.83
23476	BRD4	-0.84
55159	RFWD3	-0.84
983	CDC2	-0.84
5366	PMAIP1	-0.85
5683	PSMA2	-0.86
84893	FBXO18	-0.86
10213	PSMD14	-0.87
28992	MACROD1	-0.88
54780	NSMCE4A	-0.88
5718	PSMD12	-0.88
7508	XPC	-0.88
5438	POLR2I	-0.89
5682	PSMA1	-0.9
5439	POLR2J	-0.91
6117	RPA1	-0.91
55775	TDP1	-0.92
83932	C1orf124	-0.92
5888	RAD51	-0.93
4796	NFKBIL2	-0.99
57654	KIAA1530	-0.99
3622	ING2	-1.01
26270	FBXO6	-1.02
2794	GNL1	-1.03
5437	POLR2H	-1.04
5690	PSMB2	-1.07
64393	ZMAT3	-1.07
8812	CCNK	-1.08
144455	E2F7	-1.09
5702	PSMC3	-1.09
10036	CHAF1A	-1.1
26574	AATF	-1.1
4193	MDM2	-1.1
2175	FANCA	-1.13
5432	POLR2C	-1.13
55611	OTUB1	-1.14
50485	SMARCAL1	-1.17
5111	PCNA	-1.19
5694	PSMB6	-1.2
5687	PSMA6	-1.21
5684	PSMA3	-1.27
5433	POLR2D	-1.34
5685	PSMA4	-1.34
79184	BRCC3	-1.34
5436	POLR2G	-1.37
378708	APITD1	-1.43
51512	GTSE1	-1.44
5701	PSMC2	-1.45
5704	PSMC4	-1.46
5705	PSMC5	-1.48
5691	PSMB3	-1.49
8914	TIMELESS	-1.52
5435	POLR2F	-1.56
5713	PSMD7	-1.56
126520	PLK5	-1.58
9861	PSMD6	-1.58
27113	BBC3	-1.61
27434	POLM	-1.61
51499	TRIAP1	-1.62
112399	EGLN3	-1.64
6233	RPS27A	-1.71
7311	UBA52	-1.71
54962	TIPIN	-1.73
5695	PSMB7	-1.74
56949	XAB2	-1.79
5707	PSMD1	-1.81
5709	PSMD3	-1.86
5688	PSMA7	-1.91
57697	FANCM	-1.91
51270	TFDP3	-1.94
147872	CCDC155	-1.95
6188	RPS3	-2
5708	PSMD2	-2.09
5717	PSMD11	-2.1
5714	PSMD8	-2.3
51514	DTL	-2.43
126074	C19orf39	-2.64
7316	UBC	-2.81
90381	TICRR	-3.08
5430	POLR2A	-3.12
5700	PSMC1	-3.15
