GeneID	GeneSymbol	median_z_score
10221	TRIB1	1.8
5594	MAPK1	1.69
5681	PSKH1	1.45
7294	TXK	1.38
64080	RBKS	1.38
9024	BRSK2	1.36
10769	PLK2	1.35
8517	IKBKG	1.31
53834	FGFRL1	1.27
79934	ADCK4	1.27
57172	CAMK1G	1.26
4293	MAP3K9	1.24
5600	MAPK11	1.22
51231	VRK3	1.18
5305	PIP4K2A	1.17
27010	TPK1	1.17
136371	ASB10	1.16
10298	PAK4	1.12
150094	SIK1	1.1
914	CD2	1.07
1956	EGFR	1.04
9252	RPS6KA5	1.03
4750	NEK1	1.02
347736	NME9	1.02
6197	RPS6KA3	1
8780	RIOK3	0.97
1457	CSNK2A1	0.96
1859	DYRK1A	0.96
814	CAMK4	0.95
1633	DCK	0.95
6794	STK11	0.94
9874	TLK1	0.94
1612	DAPK1	0.93
4831	NME2	0.93
9578	CDC42BPB	0.93
5230	PGK1	0.92
8877	SPHK1	0.92
1025	CDK9	0.91
347359	BMP2KL	0.89
90	ACVR1	0.87
5297	PI4KA	0.87
9223	MAGI1	0.86
51727	CMPK1	0.86
6872	TAF1	0.85
23613	ZMYND8	0.85
6446	SGK1	0.83
57396	CLK4	0.83
5211	PFKL	0.82
64768	IPPK	0.82
695	BTK	0.81
4139	MARK1	0.81
8737	RIPK1	0.79
4356	MPP3	0.78
5128	PCTK2	0.78
6199	RPS6KB2	0.78
7297	TYK2	0.78
1017	CDK2	0.77
2050	EPHB4	0.77
2868	GRK4	0.77
9943	OXSR1	0.77
29993	PACSIN1	0.77
64799	IQCH	0.77
8859	STK19	0.74
54963	UCKL1	0.74
6041	RNASEL	0.73
1456	CSNK1G3	0.72
9863	MAGI2	0.7
26750	RPS6KC1	0.69
56911	MAP3K7CL	0.67
4233	MET	0.66
5170	PDPK1	0.66
5634	PRPS2	0.66
203447	NRK	0.66
5289	PIK3C3	0.65
10154	PLXNC1	0.65
197258	FUK	0.65
8382	NME5	0.64
11035	RIPK3	0.64
23031	MAST3	0.64
2931	GSK3A	0.61
9201	DCLK1	0.61
83732	RIOK1	0.61
8396	PIP4K2B	0.6
11213	IRAK3	0.6
57410	SCYL1	0.6
3055	HCK	0.59
9463	PICK1	0.59
8317	CDC7	0.58
8526	DGKE	0.58
8558	CDK10	0.58
11184	MAP4K1	0.58
23139	MAST2	0.58
114790	STK11IP	0.58
30811	HUNK	0.57
23097	CDK19	0.56
53354	PANK1	0.56
81788	NUAK2	0.56
207	AKT1	0.55
2049	EPHB3	0.55
9113	LATS1	0.55
51347	TAOK3	0.55
55351	STK32B	0.55
2263	FGFR2	0.54
3705	ITPK1	0.54
10087	COL4A3BP	0.54
2081	ERN1	0.53
2322	FLT3	0.53
3791	KDR	0.53
4217	MAP3K5	0.53
9748	SLK	0.53
23049	SMG1	0.53
1613	DAPK3	0.52
5261	PHKG2	0.52
1459	CSNK2A2	0.51
1606	DGKA	0.51
256356	GK5	0.51
7175	TPR	0.5
7525	YES1	0.5
80851	SH3BP5L	0.5
1158	CKM	0.49
8649	MAPKSP1	0.49
9465	AKAP7	0.49
11200	CHEK2	0.49
23604	DAPK2	0.49
54981	C9orf95	0.49
2064	ERBB2	0.48
2710	GK	0.48
4593	MUSK	0.48
5315	PKM2	0.48
27330	RPS6KA6	0.48
65267	WNK3	0.48
817	CAMK2D	0.47
3611	ILK	0.47
5108	PCM1	0.47
5286	PIK3C2A	0.47
10270	AKAP8	0.47
26524	LATS2	0.47
84446	BRSK1	0.47
139189	DGKK	0.47
4216	MAP3K4	0.46
25989	ULK3	0.46
147746	HIPK4	0.46
167359	NIM1	0.46
2264	FGFR4	0.45
4294	MAP3K10	0.45
5364	PLXNB1	0.45
5636	PRPSAP2	0.45
8814	CDKL1	0.45
9467	SH3BP5	0.45
55872	PBK	0.45
57147	SCYL3	0.45
9590	AKAP12	0.44
4246	SCGB2A1	0.43
6885	MAP3K7	0.43
7016	TESK1	0.43
7084	TK2	0.43
79810	PTCD2	0.43
25778	DSTYK	0.42
30849	PIK3R4	0.42
2645	GCK	0.41
5362	PLXNA2	0.41
28996	HIPK2	0.41
5260	PHKG1	0.4
80122	MAP3K19	0.4
3932	LCK	0.39
5871	MAP4K2	0.39
51135	IRAK4	0.39
112464	PRKCDBP	0.39
5127	PCTK1	0.38
10783	NEK6	0.38
3717	JAK2	0.37
54103	PION	0.37
64781	CERK	0.37
374872	C19orf35	0.37
4117	MAK	0.36
8569	MKNK1	0.36
9475	ROCK2	0.36
23235	SIK2	0.36
23548	TTC33	0.36
57551	TAOK1	0.36
660	BMX	0.35
2869	GRK5	0.35
5583	PRKCH	0.35
55224	ETNK2	0.35
90956	ADCK2	0.35
5291	PIK3CB	0.34
5979	RET	0.34
9175	MAP3K13	0.34
221823	PRPS1L1	0.34
1119	CHKA	0.33
1436	CSF1R	0.33
5581	PRKCE	0.33
5832	ALDH18A1	0.33
5894	RAF1	0.33
369	ARAF	0.32
2444	FRK	0.32
7371	UCK2	0.32
8445	DYRK2	0.32
10114	HIPK3	0.32
54998	AURKAIP1	0.32
1454	CSNK1E	0.31
5058	PAK1	0.31
6789	STK4	0.31
10020	GNE	0.31
23683	PRKD3	0.31
26228	STAP1	0.31
51314	TXNDC3	0.31
55577	NAGK	0.31
472	ATM	0.3
5582	PRKCG	0.3
7535	ZAP70	0.3
65975	STK33	0.3
55450	CAMK2N1	0.29
64398	MPP5	0.29
79646	PANK3	0.29
79837	PIP4K2C	0.29
80271	ITPKC	0.29
140901	STK35	0.28
2042	EPHA3	0.27
2534	FYN	0.27
3706	ITPKA	0.27
55561	CDC42BPG	0.27
340156	MYLK4	0.27
1796	DOK1	0.26
2260	FGFR1	0.25
5156	PDGFRA	0.25
5157	PDGFRL	0.25
5159	PDGFRB	0.25
6725	SRMS	0.25
6787	NEK4	0.25
6795	AURKC	0.25
8767	RIPK2	0.25
50808	AK3	0.25
81629	TSSK3	0.25
5165	PDK3	0.24
5563	PRKAA2	0.24
6098	ROS1	0.24
26993	AKAP8L	0.24
50488	MINK1	0.24
