GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID	Flag
55294	6	O13	2.84	1	2	4.255460997636083e-5	1	3	3	100	55294	FBXW7	s224357	TRUE
55294	5	O13	2.35	2	14	4.255460997636083e-5	1	3	3	100	55294	FBXW7	s224356	TRUE
55294	4	O13	1.62	3	64	4.255460997636083e-5	1	3	3	100	55294	FBXW7	s30665	TRUE
10432	1	N08	2.73	4	3	3.368906623128573e-4	1	3	3	100	10432	RBM14	s20408	TRUE
10432	3	N08	2.21	5	20	3.368906623128573e-4	1	3	3	100	10432	RBM14	s20407	TRUE
10038	1	L08	1.59	6	72	3.4049923088777593e-4	1	3	3	100	10038	PARP2	s19502	TRUE
10038	2	L08	1.52	7	86	3.4049923088777593e-4	1	3	3	100	10038	PARP2	s19504	TRUE
10038	3	L08	1.34	8	129	3.4049923088777593e-4	1	3	3	100	10038	PARP2	s19503	TRUE
546	3	A19	2.41	9	10	4.6489644892924964e-4	1	3	3	100	546	ATRX	s1824	TRUE
546	2	A19	2.28	10	18	4.6489644892924964e-4	1	3	3	100	546	ATRX	s1825	TRUE
546	1	A19	1.29	11	142	4.6489644892924964e-4	1	3	3	100	546	ATRX	s1826	TRUE
545	2	A17	2.64	13	5	6.207653730301655e-4	1	2	3	67	545	ATR	s535	TRUE
545	3	A17	2.06	14	27	6.207653730301655e-4	1	2	3	67	545	ATR	s536	TRUE
10459	3	N12	1.74	33	51	0.0025067081380306033	1	3	3	100	10459	MAD2L2	s20466	TRUE
10459	2	N12	1.71	34	55	0.0025067081380306033	1	3	3	100	10459	MAD2L2	s20468	TRUE
10459	1	N12	1	35	249	0.0025067081380306033	1	3	3	100	10459	MAD2L2	s20467	TRUE
5890	1	E06	1.94	49	33	0.005894645478908219	1	3	3	100	5890	RAD51L1	s11741	TRUE
5890	3	E06	1.53	50	82	0.005894645478908219	1	3	3	100	5890	RAD51L1	s11740	TRUE
545	1	A17	-0.2	879	879	6.207653730301655e-4	0	2	3	67	545	ATR	s534	TRUE
5890	2	E06	0.4	879	879	0.005894645478908219	0	3	3	100	5890	RAD51L1	s11742	TRUE
10432	2	N08	0.64	879	879	3.368906623128573e-4	0	3	3	100	10432	RBM14	s20406	TRUE
