GeneID	GeneSymbol	median_z_score
55294	FBXW7	2.35
546	ATRX	2.28
10432	RBM14	2.21
545	ATR	2.06
10459	MAD2L2	1.71
5890	RAD51L1	1.53
10038	PARP2	1.52
472	ATM	1.5
10017	BCL2L10	1.47
666	BOK	1.45
340533	KIAA2022	1.44
10887	PROKR1	1.43
9891	NUAK1	1.4
83666	PARP9	1.35
200933	FBXO45	1.31
51065	RPS27L	1.31
5985	RFC5	1.29
80820	EEPD1	1.28
51246	SHISA5	1.27
63979	FIGNL1	1.27
57646	USP28	1.26
10600	USP16	1.25
331	XIAP	1.25
5982	RFC2	1.24
5594	MAPK1	1.21
51347	TAOK3	1.2
571	BACH1	1.18
5711	PSMD5	1.18
6917	TCEA1	1.16
8924	HERC2	1.16
23054	NCOA6	1.14
602	BCL3	1.09
5423	POLB	1.07
581	BAX	1.06
121642	ALKBH2	1.05
10413	YAP1	1
572	BAD	0.99
4968	OGG1	0.98
604	BCL6	0.98
6419	SETMAR	0.98
389643	C8orf80	0.97
4439	MSH5	0.97
54891	INO80D	0.97
11144	DMC1	0.95
322	APBB1	0.95
5427	POLE2	0.95
596	BCL2	0.95
7157	TP53	0.95
7317	UBA1	0.95
122706	PSMB11	0.94
27429	HTRA2	0.94
143	PARP4	0.93
2187	FANCB	0.92
9768	KIAA0101	0.92
10721	POLQ	0.91
2071	ERCC3	0.91
29935	RPA4	0.9
5699	PSMB10	0.9
57599	WDR48	0.9
1069	CETN2	0.89
5425	POLD2	0.88
5429	POLH	0.88
5527	PPP2R5C	0.88
91442	C19orf40	0.86
10309	CCNO	0.85
10519	CIB1	0.85
23064	SETX	0.85
100507436	MICA	0.83
79677	SMC6	0.83
324	APC	0.82
23409	SIRT4	0.81
2956	MSH6	0.8
84083	ZRANB3	0.8
27030	MLH3	0.79
56897	WRNIP1	0.79
26058	GIGYF2	0.78
79068	FTO	0.78
10197	PSME3	0.77
79035	OBFC2B	0.76
26122	EPC2	0.75
28990	ASTE1	0.75
64789	EXO5	0.74
9874	TLK1	0.74
10451	VAV3	0.73
11200	CHEK2	0.71
1859	DYRK1A	0.71
7374	UNG	0.71
9491	PSMF1	0.71
7334	UBE2N	0.69
1196	CLK2	0.68
10111	RAD50	0.67
23137	SMC5	0.67
54840	APTX	0.67
5983	RFC3	0.67
6794	STK11	0.66
201973	CCDC111	0.65
23514	KIAA0146	0.65
1653	DDX1	0.64
27343	POLL	0.64
2067	ERCC1	0.63
6446	SGK1	0.63
2237	FEN1	0.61
2765	GML	0.6
151987	PPP4R2	0.59
5441	POLR2L	0.59
55775	TDP1	0.59
1106	CHD2	0.57
55031	USP47	0.57
9984	THOC1	0.57
10535	RNASEH2A	0.56
254394	MCM9	0.56
27113	BBC3	0.56
2188	FANCF	0.55
54929	TMEM161A	0.55
10397	NDRG1	0.54
400410	ST20	0.54
5698	PSMB9	0.54
7528	YY1	0.54
9774	BCLAF1	0.54
7314	UBB	0.53
10075	HUWE1	0.52
197370	NSMCE1	0.52
5379	PMS2L1	0.52
9656	MDC1	0.52
135458	HUS1B	0.51
91603	ZNF830	0.51
9320	TRIP12	0.51
11277	TREX1	0.5
4750	NEK1	0.5
83695	C12orf32	0.5
10538	BATF	0.49
11044	POLS	0.49
4255	MGMT	0.49
5663	PSEN1	0.49
10973	ASCC3	0.48
599	BCL2L2	0.48
3978	LIG1	0.47
9538	EI24	0.47
10210	TOPORS	0.46
25896	INTS7	0.46
27141	CIDEB	0.46
51455	REV1	0.46
8438	RAD54L	0.46
91419	XRCC6BP1	0.46
283899	INO80E	0.45
55010	C12orf48	0.45
55183	RIF1	0.45
64782	AEN	0.45
79728	PALB2	0.45
80854	SETD7	0.45
84446	BRSK1	0.45
11186	RASSF1	0.44
1263	PLK3	0.44
2189	FANCG	0.44
23300	ATMIN	0.44
6596	HLTF	0.44
119392	SFR1	0.43
253714	MMS22L	0.43
2072	ERCC4	0.42
5424	POLD1	0.42
55339	WDR33	0.42
57551	TAOK1	0.42
902	CCNH	0.42
4438	MSH4	0.41
57805	KIAA1967	0.41
50484	RRM2B	0.4
84690	SPATA22	0.4
10039	PARP3	0.39
25	ABL1	0.39
51548	SIRT6	0.39
7158	TP53BP1	0.39
9665	KIAA0430	0.39
64421	DCLRE1C	0.38
5295	PIK3R1	0.37
1407	CRY1	0.36
9577	BRE	0.36
9985	REC8	0.36
3622	ING2	0.35
4361	MRE11A	0.35
5378	PMS1	0.35
56154	TEX15	0.35
7486	WRN	0.35
151636	DTX3L	0.34
286053	NSMCE2	0.34
3014	H2AFX	0.34
