GeneID.x	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	GeneID.y	GeneSymbol	siRNAID	Flag
10519	1	N16	2.89	1	6	2.416493923657643e-5	1	3	3	100	10519	CIB1	s20617	TRUE
10519	3	N16	2.12	2	25	2.416493923657643e-5	1	3	3	100	10519	CIB1	s20618	TRUE
10519	2	N16	1.83	3	53	2.416493923657643e-5	1	3	3	100	10519	CIB1	s20616	TRUE
10309	2	N02	1.87	4	48	2.281036209117499e-4	1	3	3	100	10309	CCNO	s223105	TRUE
10309	1	N02	1.7	5	71	2.281036209117499e-4	1	3	3	100	10309	CCNO	s20154	TRUE
10309	3	N02	1.41	6	113	2.281036209117499e-4	1	3	3	100	10309	CCNO	s223106	TRUE
10432	2	N08	1.85	10	51	7.161897992656187e-4	1	3	3	100	10432	RBM14	s20406	TRUE
10432	3	N08	1.72	11	64	7.161897992656187e-4	1	3	3	100	10432	RBM14	s20407	TRUE
10432	1	N08	1.19	12	164	7.161897992656187e-4	1	3	3	100	10432	RBM14	s20408	TRUE
28985	6	I01	2.7	13	8	0.00111051164880619	1	2	3	67	28985	MCTS1	s26357	TRUE
28985	4	I01	2.02	14	35	0.00111051164880619	1	2	3	67	28985	MCTS1	s223811	TRUE
5663	2	N03	2.53	19	13	0.002216658722230185	1	3	3	100	5663	PSEN1	s112	TRUE
5663	1	N03	1.68	20	72	0.002216658722230185	1	3	3	100	5663	PSEN1	s111	TRUE
5663	3	N03	0.98	21	235	0.002216658722230185	1	3	3	100	5663	PSEN1	s113	TRUE
23300	5	C05	1.88	22	47	0.002890151673125293	1	3	3	100	23300	ATMIN	s23502	TRUE
23300	6	C05	1.77	23	58	0.002890151673125293	1	3	3	100	23300	ATMIN	s23500	TRUE
545	3	A17	2.04	24	31	0.0030924185665513956	1	2	3	67	545	ATR	s536	TRUE
545	2	A17	1.76	25	59	0.0030924185665513956	1	2	3	67	545	ATR	s535	TRUE
546	3	A19	2.03	26	32	0.003125439307177277	1	3	3	100	546	ATRX	s1824	TRUE
546	2	A19	1.75	27	61	0.003125439307177277	1	3	3	100	546	ATRX	s1825	TRUE
546	1	A19	0.91	28	266	0.003125439307177277	1	3	3	100	546	ATRX	s1826	TRUE
100533467	5	I18	1.96	30	40	0.0035169748429694026	1	3	3	100	100533467	NA	s497918	TRUE
100533467	4	I18	1.72	31	65	0.0035169748429694026	1	3	3	100	100533467	NA	s497917	TRUE
83666	6	J17	2.02	33	36	0.005079792894351256	1	3	3	100	83666	PARP9	s38095	TRUE
83666	5	J17	1.65	34	77	0.005079792894351256	1	3	3	100	83666	PARP9	s38096	TRUE
26122	4	E17	1.83	36	54	0.006919215910579453	1	2	3	67	26122	EPC2	s25125	TRUE
26122	5	E17	1.56	37	90	0.006919215910579453	1	2	3	67	26122	EPC2	s25124	TRUE
25	2	A01	1.57	45	89	0.008186797715952243	1	2	3	67	25	ABL1	s864	TRUE
25	3	A01	1.52	46	97	0.008186797715952243	1	2	3	67	25	ABL1	s865	TRUE
26122	6	E17	-1.63	820	820	0.006919215910579453	0	2	3	67	26122	EPC2	s25126	TRUE
545	1	A17	-0.9	820	820	0.0030924185665513956	0	2	3	67	545	ATR	s534	TRUE
25	1	A01	-0.28	820	820	0.008186797715952243	0	2	3	67	25	ABL1	s866	TRUE
28985	5	I01	-0.22	820	820	0.00111051164880619	0	2	3	67	28985	MCTS1	s26359	TRUE
83666	4	J17	0.1	820	820	0.005079792894351256	0	3	3	100	83666	PARP9	s38094	TRUE
23300	4	C05	0.24	820	820	0.002890151673125293	0	3	3	100	23300	ATMIN	s23501	TRUE
100533467	6	I18	0.82	820	820	0.0035169748429694026	0	3	3	100	100533467	NA	s497916	TRUE
