GeneID	GeneSymbol	median_z_score
10519	CIB1	2.12
28985	MCTS1	2.02
23300	ATMIN	1.77
545	ATR	1.76
546	ATRX	1.75
10432	RBM14	1.72
10309	CCNO	1.7
5663	PSEN1	1.68
83666	PARP9	1.65
26122	EPC2	1.56
25	ABL1	1.52
54929	TMEM161A	1.49
10413	YAP1	1.45
571	BACH1	1.4
10451	VAV3	1.39
11186	RASSF1	1.39
4609	MYC	1.38
51512	GTSE1	1.3
5698	PSMB9	1.28
51426	POLK	1.24
64421	DCLRE1C	1.21
197370	NSMCE1	1.19
10600	USP16	1.18
472	ATM	1.18
51065	RPS27L	1.18
51720	UIMC1	1.13
10463	SLC30A9	1.09
5252	PHF1	1.09
6917	TCEA1	1.06
25836	NIPBL	1.02
5711	PSMD5	1.02
9891	NUAK1	1.02
2308	FOXO1	1
5699	PSMB10	1
11144	DMC1	0.99
10535	RNASEH2A	0.98
55183	RIF1	0.98
1386	ATF2	0.97
5716	PSMD10	0.97
5983	RFC3	0.97
2237	FEN1	0.95
22925	PLA2R1	0.94
143471	PSMA8	0.92
23514	KIAA0146	0.92
9774	BCLAF1	0.92
1493	CTLA4	0.91
254528	C16orf73	0.91
23137	SMC5	0.9
79791	FBXO31	0.89
143	PARP4	0.87
57659	ZBTB4	0.85
641	BLM	0.84
5890	RAD51L1	0.83
64210	MMS19	0.83
4255	MGMT	0.82
80854	SETD7	0.81
50484	RRM2B	0.8
5982	RFC2	0.8
64859	OBFC2A	0.8
6880	TAF9	0.8
7314	UBB	0.8
7515	XRCC1	0.8
2966	GTF2H2	0.78
57646	USP28	0.78
7520	XRCC5	0.78
144715	RAD9B	0.76
9156	EXO1	0.76
331	XIAP	0.75
9100	USP10	0.75
596	BCL2	0.74
10714	POLD3	0.73
1106	CHD2	0.72
1196	CLK2	0.72
7415	VCP	0.72
132671	SPATA18	0.71
23054	NCOA6	0.71
2967	GTF2H3	0.71
5441	POLR2L	0.71
51347	TAOK3	0.7
5423	POLB	0.7
57551	TAOK1	0.7
8846	ALKBH1	0.7
9985	REC8	0.7
10017	BCL2L10	0.69
138151	NACC2	0.69
151636	DTX3L	0.68
10111	RAD50	0.67
5378	PMS1	0.67
572	BAD	0.67
26574	AATF	0.66
9960	USP3	0.66
11232	POLG2	0.65
3090	HIC1	0.65
7405	UVRAG	0.65
902	CCNH	0.65
51246	SHISA5	0.64
57060	PCBP4	0.64
9874	TLK1	0.64
2189	FANCG	0.63
5432	POLR2C	0.63
11011	TLK2	0.62
5428	POLG	0.62
55317	C20orf29	0.62
5892	RAD51L3	0.62
5527	PPP2R5C	0.61
84268	RPAIN	0.61
3980	LIG3	0.6
5594	MAPK1	0.6
8450	CUL4B	0.6
2187	FANCB	0.59
598	BCL2L1	0.59
5980	REV3L	0.59
9401	RECQL4	0.59
257218	SHPRH	0.58
51567	TDP2	0.57
5884	RAD17	0.57
1017	CDK2	0.56
9031	BAZ1B	0.56
4221	MEN1	0.55
4332	MNDA	0.55
7528	YY1	0.55
142	PARP1	0.54
9665	KIAA0430	0.54
10721	POLQ	0.53
27343	POLL	0.53
56154	TEX15	0.52
92667	MGME1	0.52
23411	SIRT1	0.51
348654	GEN1	0.51
2072	ERCC4	0.5
5984	RFC4	0.49
1407	CRY1	0.48
2765	GML	0.47
10075	HUWE1	0.46
135458	HUS1B	0.46
2073	ERCC5	0.46
4796	NFKBIL2	0.46
92815	HIST3H2A	0.46
4067	LYN	0.45
4437	MSH3	0.45
55929	DMAP1	0.45
64789	EXO5	0.45
2965	GTF2H1	0.44
51455	REV1	0.44
80820	EEPD1	0.44
10459	MAD2L2	0.43
57600	FNIP2	0.43
7178	TPT1	0.43
11073	TOPBP1	0.42
11200	CHEK2	0.42
1854	DUT	0.42
199990	C1orf86	0.42
57805	KIAA1967	0.42
9984	THOC1	0.42
2177	FANCD2	0.41
27141	CIDEB	0.41
5887	RAD23B	0.41
6419	SETMAR	0.41
146956	EME1	0.4
283899	INO80E	0.4
10038	PARP2	0.39
11044	POLS	0.39
1396	CRIP1	0.39
7507	XPA	0.38
8682	PEA15	0.38
122706	PSMB11	0.36
1649	DDIT3	0.36
1653	DDX1	0.36
28990	ASTE1	0.36
5111	PCNA	0.36
9766	KIAA0247	0.36
252983	STXBP4	0.35
54840	APTX	0.35
328	APEX1	0.34
5387	PMS2L3	0.34
55120	FANCL	0.34
9923	ZBTB40	0.34
1161	ERCC8	0.33
2074	ERCC6	0.33
23198	PSME4	0.33
25896	INTS7	0.33
79661	NEIL1	0.33
836	CASP3	0.33
6118	RPA2	0.32
55294	FBXW7	0.31
55775	TDP1	0.31
84266	ALKBH7	0.31
84930	MASTL	0.31
10397	NDRG1	0.3
389643	C8orf80	0.3
4968	OGG1	0.3
55159	RFWD3	0.3
10887	PROKR1	0.29
2071	ERCC3	0.29
51776	ZAK	0.29
6591	SNAI2	0.29
666	BOK	0.29
125150	ZSWIM7	0.28
1643	DDB2	0.28
2178	FANCE	0.28
340533	KIAA2022	0.28
56916	SMARCAD1	0.28
1022	CDK7	0.27
3622	ING2	0.27
56897	WRNIP1	0.26
6119	RPA3	0.26
9070	ASH2L	0.26
4194	MDM4	0.25
5965	RECQL	0.25
7374	UNG	0.25
7913	DEK	0.25
84126	ATRIP	0.24
324	APC	0.23
5424	POLD1	0.23
581	BAX	0.23
9491	PSMF1	0.23
22944	KIN	0.22
136647	C7orf11	0.21
4773	NFATC2	0.21
57599	WDR48	0.21
10973	ASCC3	0.2
29935	RPA4	0.2
64858	DCLRE1B	0.2
8517	IKBKG	0.2
1054	CEBPG	0.19
23409	SIRT4	0.19
3014	H2AFX	0.19
4331	MNAT1	0.19
58493	INIP	0.19
79840	NHEJ1	0.19
91419	XRCC6BP1	0.19
1069	CETN2	0.18
118611	C10orf90	0.18
119392	SFR1	0.18
3661	IRF3	0.18
55247	NEIL3	0.18
84303	CHCHD6	0.18
84893	FBXO18	0.18
1432	MAPK14	0.17
5721	PSME2	0.17
10538	BATF	0.16
1655	DDX5	0.16
254394	MCM9	0.16
4438	MSH4	0.16
55602	CDKN2AIP	0.16
6047	RNF4	0.16
65123	INTS3	0.16
7158	TP53BP1	0.16
79728	PALB2	0.16
9538	EI24	0.16
3162	HMOX1	0.15
200933	FBXO45	0.14
604	BCL6	0.14
151987	PPP4R2	0.13
3665	IRF7	0.13
389898	UBE2NL	0.13
4350	MPG	0.13
6615	SNAI1	0.13
80279	CDK5RAP3	0.13
322	APBB1	0.12
4176	MCM7	0.12
80233	C17orf70	0.12
375748	C9orf102	0.1
51548	SIRT6	0.1
6648	SOD2	0.1
23645	PPP1R15A	0.09
404672	GTF2H5	0.09
55339	WDR33	0.09
5985	RFC5	0.09
7919	BAT1	0.09
10197	PSME3	0.08
7291	TWIST1	0.08
675	BRCA2	0.07
91603	ZNF830	0.07
2068	ERCC2	0.06
56776	FMN2	0.06
220042	C11orf82	0.05
286053	NSMCE2	0.05
5395	PMS2	0.05
64393	ZMAT3	0.05
7317	UBA1	0.05
8924	HERC2	0.05
25946	ZNF385A	0.04
79677	SMC6	0.04
8438	RAD54L	0.04
597	BCL2A1	0.03
84083	ZRANB3	0.03
8555	CDC14B	0.03
10210	TOPORS	0.02
7319	UBE2A	0.02
7979	SHFM1	0.02
84515	MCM8	0.02
3978	LIG1	0.01
4361	MRE11A	0.01
252969	NEIL2	0
4292	MLH1	0
51322	WAC	-0
54891	INO80D	-0
55031	USP47	-0
5810	RAD1	-0
63979	FIGNL1	0
79913	ACTR5	0
80169	C17orf68	-0
8243	SMC1A	-0
84690	SPATA22	0
91801	ALKBH8	0
10635	RAD51AP1	-0.01
26058	GIGYF2	-0.01
286257	C9orf142	-0.01
29089	UBE2T	-0.01
5431	POLR2B	-0.01
60561	RINT1	-0.01
842	CASP9	-0.02
8930	MBD4	-0.02
253714	MMS22L	-0.03
27033	ZBTB32	-0.03
4170	MCL1	-0.04
4913	NTHL1	-0.04
6794	STK11	-0.04
6996	TDG	-0.04
83932	C1orf124	-0.04
84464	SLX4	-0.04
11219	TREX2	-0.05
6498	SKIL	-0.05
7157	TP53	-0.05
9937	DCLRE1A	-0.05
