GeneID	GeneSymbol	median_z_score
6199	RPS6KB2	1.92
10769	PLK2	1.69
4831	NME2	1.65
8444	DYRK3	1.62
4750	NEK1	1.5
7175	TPR	1.49
90	ACVR1	1.48
2042	EPHA3	1.46
8396	PIP4K2B	1.4
9113	LATS1	1.4
4216	MAP3K4	1.33
2260	FGFR1	1.29
5213	PFKM	1.23
2868	GRK4	1.22
5581	PRKCE	1.21
2534	FYN	1.14
7786	MAP3K12	1.14
57172	CAMK1G	1.13
55681	SCYL2	1.12
8491	MAP4K3	1.1
6794	STK11	1.09
5588	PRKCQ	1.08
112464	PRKCDBP	1.08
10087	COL4A3BP	1.07
130399	ACVR1C	1.07
2049	EPHB3	1.03
80216	ALPK1	1.03
5894	RAF1	1.02
8526	DGKE	0.99
5586	PKN2	0.97
5634	PRPS2	0.95
5590	PRKCZ	0.94
260425	MAGI3	0.92
340156	MYLK4	0.92
6850	SYK	0.91
57551	TAOK1	0.91
3702	ITK	0.9
5129	PCTK3	0.9
54986	ULK4	0.9
2066	ERBB4	0.89
1956	EGFR	0.88
27330	RPS6KA6	0.88
1457	CSNK2A1	0.87
4139	MARK1	0.87
7294	TXK	0.87
1017	CDK2	0.86
4342	MOS	0.86
51530	ZC3HC1	0.86
64080	RBKS	0.86
1456	CSNK1G3	0.85
5600	MAPK11	0.85
5681	PSKH1	0.85
347359	BMP2KL	0.85
64799	IQCH	0.84
83732	RIOK1	0.84
9833	MELK	0.83
57118	CAMK1D	0.83
5289	PIK3C3	0.81
4914	NTRK1	0.8
8780	RIOK3	0.8
369	ARAF	0.78
1159	CKMT1B	0.78
283629	TSSK4	0.77
5286	PIK3C2A	0.76
9748	SLK	0.76
26007	DAK	0.76
9891	NUAK1	0.75
53834	FGFRL1	0.75
545	ATR	0.74
3055	HCK	0.74
283284	IGSF22	0.74
914	CD2	0.73
2872	MKNK2	0.73
10110	SGK2	0.73
7016	TESK1	0.72
25778	DSTYK	0.72
26993	AKAP8L	0.72
8550	MAPKAPK5	0.71
9863	MAGI2	0.71
7084	TK2	0.7
5610	EIF2AK2	0.69
27010	TPK1	0.69
91	ACVR1B	0.67
5260	PHKG1	0.67
10128	LRPPRC	0.67
55361	PI4K2A	0.67
79934	ADCK4	0.67
1613	DAPK3	0.66
5230	PGK1	0.66
6195	RPS6KA1	0.65
6732	SRPK1	0.65
805	CALM2	0.64
818	CAMK2G	0.64
6885	MAP3K7	0.63
2645	GCK	0.62
9706	ULK2	0.62
221823	PRPS1L1	0.62
5127	PCTK1	0.61
29993	PACSIN1	0.6
55229	PANK4	0.6
5605	MAP2K2	0.59
7371	UCK2	0.58
374872	C19orf35	0.58
2931	GSK3A	0.57
6792	CDKL5	0.57
8573	CASK	0.57
79646	PANK3	0.57
225689	MAPK15	0.57
23678	SGK3	0.56
6446	SGK1	0.55
6502	SKP2	0.55
51231	VRK3	0.55
51232	CRIM1	0.55
8569	MKNK1	0.54
26228	STAP1	0.54
1119	CHKA	0.53
3480	IGF1R	0.53
3717	JAK2	0.53
8558	CDK10	0.52
51765	MST4	0.52
54981	C9orf95	0.52
1454	CSNK1E	0.51
2264	FGFR4	0.51
65975	STK33	0.51
808	CALM3	0.5
5566	PRKACA	0.5
10295	BCKDK	0.5
152110	NEK10	0.5
4217	MAP3K5	0.49
4921	DDR2	0.49
54963	UCKL1	0.49
122481	AK7	0.49
695	BTK	0.48
1612	DAPK1	0.48
55224	ETNK2	0.48
5156	PDGFRA	0.47
5165	PDK3	0.46
5608	MAP2K6	0.46
23235	SIK2	0.46
9590	AKAP12	0.45
