GeneID	GeneSymbol	median_z_score
545	ATR	2.59
3978	LIG1	2.26
10721	POLQ	2.22
56897	WRNIP1	2.21
572	BAD	2.07
324	APC	1.94
10432	RBM14	1.9
54840	APTX	1.89
4438	MSH4	1.86
596	BCL2	1.85
9774	BCLAF1	1.78
23137	SMC5	1.75
10038	PARP2	1.74
5427	POLE2	1.71
83666	PARP9	1.7
57646	USP28	1.69
9891	NUAK1	1.62
55183	RIF1	1.6
2067	ERCC1	1.54
91419	XRCC6BP1	1.49
54891	INO80D	1.47
9984	THOC1	1.47
5929	RBBP5	1.39
10451	VAV3	1.38
64789	EXO5	1.38
4255	MGMT	1.36
10887	PROKR1	1.32
5425	POLD2	1.3
5711	PSMD5	1.3
7317	UBA1	1.3
546	ATRX	1.29
51455	REV1	1.28
26058	GIGYF2	1.25
9665	KIAA0430	1.25
340533	KIAA2022	1.24
5985	RFC5	1.24
571	BACH1	1.21
10413	YAP1	1.2
25	ABL1	1.16
10309	CCNO	1.12
8924	HERC2	1.11
10210	TOPORS	1.1
5890	RAD51L1	1.1
197370	NSMCE1	1.09
79791	FBXO31	1.09
5982	RFC2	1.07
84083	ZRANB3	1.07
22925	PLA2R1	1.04
254394	MCM9	1.04
28990	ASTE1	1.03
7178	TPT1	1.01
9768	KIAA0101	1
10017	BCL2L10	0.99
26122	EPC2	0.99
4750	NEK1	0.99
331	XIAP	0.97
4350	MPG	0.97
51065	RPS27L	0.97
5716	PSMD10	0.97
666	BOK	0.97
7157	TP53	0.97
9491	PSMF1	0.97
4170	MCL1	0.96
10714	POLD3	0.94
5378	PMS1	0.94
286053	NSMCE2	0.93
10459	MAD2L2	0.92
84930	MASTL	0.92
201973	CCDC111	0.91
6615	SNAI1	0.91
10600	USP16	0.9
5423	POLB	0.9
6419	SETMAR	0.9
5663	PSEN1	0.89
641	BLM	0.89
6917	TCEA1	0.88
1017	CDK2	0.87
2071	ERCC3	0.87
4436	MSH2	0.86
1106	CHD2	0.85
1407	CRY1	0.85
140733	MACROD2	0.84
2187	FANCB	0.83
51246	SHISA5	0.83
2188	FANCF	0.82
25896	INTS7	0.82
55294	FBXW7	0.82
57805	KIAA1967	0.82
84690	SPATA22	0.82
143	PARP4	0.8
27343	POLL	0.79
9577	BRE	0.79
902	CCNH	0.78
92667	MGME1	0.78
253714	MMS22L	0.77
389643	C8orf80	0.76
51567	TDP2	0.76
1643	DDB2	0.75
2765	GML	0.75
322	APBB1	0.75
5594	MAPK1	0.75
9070	ASH2L	0.75
10116	FEM1B	0.74
5698	PSMB9	0.74
7374	UNG	0.74
121642	ALKBH2	0.73
2967	GTF2H3	0.73
472	ATM	0.73
11186	RASSF1	0.71
1263	PLK3	0.71
4968	OGG1	0.71
56776	FMN2	0.71
5429	POLH	0.7
56154	TEX15	0.7
79728	PALB2	0.7
23626	SPO11	0.69
9937	DCLRE1A	0.69
1161	ERCC8	0.68
10197	PSME3	0.67
2072	ERCC4	0.67
1653	DDX1	0.66
23409	SIRT4	0.66
252969	NEIL2	0.66
10075	HUWE1	0.65
10519	CIB1	0.65
23054	NCOA6	0.65
132671	SPATA18	0.63
80169	C17orf68	0.63
9538	EI24	0.63
1196	CLK2	0.62
23581	CASP14	0.62
8450	CUL4B	0.62
5699	PSMB10	0.61
4282	MIF	0.6
144715	RAD9B	0.59
1859	DYRK1A	0.59
27030	MLH3	0.59
54541	DDIT4	0.59
1027	CDKN1B	0.58
602	BCL3	0.58
63979	FIGNL1	0.57
119392	SFR1	0.56
